index,name,output,gender,score
0,Adiljan,"Male, 0.8^",M,0.8
1,Lamusi,"Male, 0.9^",M,0.9
2,Gunnar,"Male, 0.9^",M,0.9
3,Edgar,"Male, 0.9^",M,0.9
4,Christine,"Female, 0.9^",F,0.9
5,Per,"Male, 0.7^",M,0.7
6,John,"Male, 0.9^",M,0.9
7,Cornelia,"Female, 0.9^",F,0.9
8,Antti,"Male, 0.95^",M,0.95
9,Einar,"Male, 0.9^",M,0.9
10,Jorma,"Male, 0.9^",M,0.9
11,Jyri,"Male, 0.95^",M,0.95
12,Minna,"Female, 0.95^",F,0.95
13,Pirjo,"Female, 0.9^",F,0.9
14,Arvo,"Male, 0.9^",M,0.9
15,Juhamatti,"Male, 0.9^",M,0.9
16,Paavo,"Male, 0.9^",M,0.9
17,Timo,"Male, 0.95^",M,0.95
18,Win,"Male, 0.7^",M,0.7
19,Kjetil,"Male, 0.9^",M,0.9
20,Ragnhild,"Female, Score^0.9",F,0.9
21,Andreea,"Female, 0.9^",F,0.9
22,Fritz,"Male, 0.8^",M,0.8
23,Nils,"Male, 0.9^",M,0.9
24,Alf,"Male, 0.9^",M,0.9
25,Agnes,"Female, Score^0.9",F,0.9
26,Johan,"Male, 0.9^",M,0.9
27,Jan-Erik,"Male, 0.9^",M,0.9
28,Willemien,"Female, Score^0.8",F,0.8
29,Pepijn,"Male, 0.9^",M,0.9
30,Evald,"Male, 0.9^",M,0.9
31,Olav,"Male, 0.9^",M,0.9
32,Mika,"Male, 0.9^",M,0.9
33,Jamale,"Male, 0.8^",M,0.8
34,Dagfinn,"Male, 0.99^",M,0.99
35,Stefan,"Male, 0.95^",M,0.95
36,Ann,"Female, 0.8^",F,0.8
37,Karl,"Male, 0.9^",M,0.9
38,Lars,"Male, 0.9^",M,0.9
39,Roald,"Male, 0.9^",M,0.9
40,Rolf,"Male, 0.9^",M,0.9
41,Thomas,"Male, 0.9^",M,0.9
42,Morten,"Male, 0.95^",M,0.95
43,Meelis,"Male, 0.95^",M,0.95
44,Hakon,"Male, Score^0.9",M,0.9
45,Hans,"Male, 0.95^",M,0.95
46,Erling,"Male, 0.9^",M,0.9
47,Abdelhak,"Male, 0.9^",M,0.9
48,Moonika,"Female, 0.8^",F,0.8
49,Arvi,"Male, 0.8^",M,0.8
50,Nstor,"Male, 0.9^",M,0.9
51,Patrick,"Male, 0.9^",M,0.9
52,Talaat,"Male, 0.9^",M,0.9
53,Mohamed,"Male, 0.9^",M,0.9
54,Antonio,"Male, 0.95^",M,0.95
55,Ren,"Male, 0.8^",M,0.8
56,Borislav,"Male, 0.9^",M,0.9
57,Georgi,"Male, 0.9^",M,0.9
58,Ivan,"Male, 0.95^",M,0.95
59,Mikhail,"Male, 0.9^",M,0.9
